1	0	0	576	3591	2608
1	0	1	578	3589	2610
1	0	2	577	3590	2609
1	0	3	579	3588	2611
1	0	4	584	3583	2616
1	0	5	581	3586	2613
1	0	6	582	3585	2614
1	0	7	580	3587	2612
2	0	0	0	3015	2032
2	0	1	2	3013	2034
2	0	2	1	3014	2033
2	0	3	3	3012	2035
2	0	4	8	3007	2040
2	0	5	5	3010	2037
2	0	6	6	3009	2038
2	0	7	4	3011	2036
3	0	0	144	3159	2176
3	0	1	146	3157	2178
3	0	2	145	3158	2177
3	0	3	147	3156	2179
3	0	4	152	3151	2184
3	0	5	149	3154	2181
3	0	6	150	3153	2182
3	0	7	148	3155	2180
4	0	0	288	3303	2320
4	0	1	290	3301	2322
4	0	2	289	3302	2321
4	0	3	291	3300	2323
4	0	4	296	3295	2328
4	0	5	293	3298	2325
4	0	6	294	3297	2326
4	0	7	292	3299	2324
5	0	0	432	3447	2464
5	0	1	434	3445	2466
5	0	2	433	3446	2465
5	0	3	435	3444	2467
5	0	4	440	3439	2472
5	0	5	437	3442	2469
5	0	6	438	3441	2470
5	0	7	436	3443	2468
6	0	0	680	3679	2712
6	0	1	677	3682	2709
6	0	2	678	3681	2710
6	0	3	676	3683	2708
6	0	4	24	3023	2056
6	0	5	21	3026	2053
6	0	6	22	3025	2054
6	0	7	20	3027	2052
7	0	0	100	3107	2132
7	0	1	168	3167	2200
7	0	2	165	3170	2197
7	0	3	166	3169	2198
7	0	4	164	3171	2196
7	0	5	208	3223	2240
7	0	6	205	3194	2237
7	0	7	206	3193	2238
8	0	0	310	3313	2342
8	0	1	308	3315	2340
8	0	2	352	3367	2384
8	0	3	349	3338	2381
8	0	4	350	3337	2382
8	0	5	348	3339	2380
8	0	6	392	3391	2424
8	0	7	389	3394	2421
9	0	0	493	3482	2525
9	0	1	494	3481	2526
9	0	2	492	3483	2524
9	0	3	536	3535	2568
9	0	4	533	3538	2565
9	0	5	534	3537	2566
9	0	6	532	3539	2564
9	0	7	600	3599	2632
10	0	0	74	3069	2106
10	0	1	73	3070	2105
10	0	2	75	3068	2107
10	0	3	71	3072	2103
10	0	4	114	3125	2146
10	0	5	113	3126	2145
10	0	6	115	3124	2147
10	0	7	111	3096	2143
11	0	0	218	3213	2250
11	0	1	217	3214	2249
11	0	2	219	3212	2251
11	0	3	215	3216	2247
11	0	4	258	3269	2290
11	0	5	257	3270	2289
11	0	6	259	3268	2291
11	0	7	255	3240	2287
12	0	0	403	3412	2435
12	0	1	399	3384	2431
12	0	2	466	3477	2498
12	0	3	465	3478	2497
12	0	4	467	3476	2499
12	0	5	463	3448	2495
12	0	6	506	3501	2538
12	0	7	505	3502	2537
13	0	0	547	3556	2579
13	0	1	543	3528	2575
13	0	2	610	3621	2642
13	0	3	609	3622	2641
13	0	4	611	3620	2643
13	0	5	607	3592	2639
13	0	6	650	3645	2682
13	0	7	649	3646	2681
14	0	0	45	3034	2077
14	0	1	46	3033	2078
