1	0	0	576
1	0	1	578
1	0	2	577
1	0	3	579
1	0	4	584
1	0	5	581
1	0	6	582
1	0	7	580
1	1	0	624
1	1	1	586
1	1	2	585
1	1	3	587
1	1	4	583
1	1	5	626
1	1	6	625
1	1	7	627
1	2	0	592
1	2	1	589
1	2	2	590
1	2	3	588
1	2	4	632
1	2	5	629
1	2	6	630
1	2	7	628
1	3	0	672
1	3	1	594
1	3	2	593
1	3	3	595
1	3	4	591
1	3	5	634
1	3	6	633
1	3	7	635
1	4	0	631
1	4	1	674
1	4	2	673
1	4	3	675
1	4	4	1000
1	4	5	1000
1	4	6	1000
1	4	7	1000
2	0	0	0
2	0	1	2
2	0	2	1
2	0	3	3
2	0	4	8
2	0	5	5
2	0	6	6
2	0	7	4
2	1	0	48
2	1	1	10
2	1	2	9
2	1	3	11
2	1	4	7
2	1	5	50
2	1	6	49
2	1	7	51
2	2	0	16
2	2	1	13
2	2	2	14
2	2	3	12
2	2	4	56
2	2	5	53
2	2	6	54
2	2	7	52
2	3	0	96
2	3	1	18
2	3	2	17
2	3	3	19
2	3	4	15
2	3	5	58
2	3	6	57
2	3	7	59
2	4	0	55
2	4	1	98
2	4	2	97
2	4	3	99
2	4	4	1000
2	4	5	1000
2	4	6	1000
2	4	7	1000
3	0	0	144
3	0	1	146
3	0	2	145
3	0	3	147
3	0	4	152
3	0	5	149
3	0	6	150
3	0	7	148
3	1	0	192
3	1	1	154
3	1	2	153
3	1	3	155
3	1	4	151
3	1	5	194
3	1	6	193
3	1	7	195
3	2	0	160
3	2	1	157
3	2	2	158
3	2	3	156
3	2	4	200
3	2	5	197
3	2	6	198
3	2	7	196
3	3	0	240
3	3	1	162
3	3	2	161
3	3	3	163
3	3	4	159
3	3	5	202
3	3	6	201
3	3	7	203
3	4	0	199
3	4	1	242
3	4	2	241
3	4	3	243
3	4	4	1000
3	4	5	1000
3	4	6	1000
3	4	7	1000
4	0	0	288
4	0	1	290
4	0	2	289
4	0	3	291
4	0	4	296
4	0	5	293
4	0	6	294
4	0	7	292
4	1	0	336
4	1	1	298
4	1	2	297
4	1	3	299
4	1	4	295
4	1	5	338
4	1	6	337
4	1	7	339
4	2	0	304
4	2	1	301
4	2	2	302
4	2	3	300
4	2	4	344
4	2	5	341
4	2	6	342
4	2	7	340
4	3	0	384
4	3	1	306
4	3	2	305
4	3	3	307
4	3	4	303
4	3	5	346
4	3	6	345
4	3	7	347
4	4	0	343
4	4	1	386
4	4	2	385
